bottle_id,camera_name,frame_number,ocr_text,confidence,timestamp,processing_time
-1,Front,0,(Ok),0.7115029692649841,1763467886.9630296,1763467886.9630296
25,Back Right,0,Ok),0.5860073900918202,1763467887.5521855,1763467887.5521855
-1,Back Left,0,ch quc,0.5530031645305572,1763467889.0923214,1763467889.0923214
26,Front,0,IMACA,0.5592479167938629,1763467889.8814452,1763467889.8814452
26,Back Right,0,JK),0.5110675333264584,1763467890.5118883,1763467890.5118883
25,Top,0,G,0.909505502054575,1763467891.6463056,1763467891.6463056
-1,Back Left,0,h que,0.5540338169608529,1763467892.1868584,1763467892.1868584
27,Front,0,K),0.5940614253996954,1763467892.8521008,1763467892.8521008
27,Back Right,0,Ok),0.5355188165993279,1763467893.4425738,1763467893.4425738
-1,Back Left,0,ch,0.7509858956160887,1763467894.8265116,1763467894.8265116
28,Front,0,Ok),0.6788002694433287,1763467896.1540937,1763467896.1540937
28,Back Right,0,Jk),0.6301901200636439,1763467896.3841584,1763467896.3841584
-1,Back Left,0,tch,0.690061092376709,1763467897.8900642,1763467897.8900642
29,Front,0,Ok),0.6289690591732652,1763467899.0364351,1763467899.0364351
29,Back Right,0,(Ok),0.5749302506446838,1763467899.333209,1763467899.333209
30,Back Left,0,atch,0.8429021239280701,1763467901.0511696,1763467901.0511696
30,Front,0,RIMAG,0.786258065971967,1763467901.7415605,1763467901.7415605
30,Back Right,0,Ok),0.6378756383051739,1763467902.29474,1763467902.29474
-1,Back Left,0,tch,0.9990297609662758,1763467903.8513865,1763467903.8513865
31,Front,0,Ok),0.5676384881879436,1763467904.956554,1763467904.956554
31,Back Right,0,K),0.5042333636200382,1763467905.2311265,1763467905.2311265
-1,Back Left,0,(Ok) YCLO,0.7782430648803711,1763467906.3705478,1763467906.3705478
30,Top,0,G,0.9831397807956002,1763467906.4455705,1763467906.4455705
-1,Back Left,0,atch,0.9832150087001427,1763467907.0707932,1763467907.0707932
